jogador_slug,profissionalismo,ambicao,lealdade,temperamento,lideranca,regularidade,propensao_lesao,resistencia_pressao
alisson-vasconcelos-albuquerque,45,37,38,56,58,51,89,47
emerson-queiroz-fonseca,40,72,49,69,36,74,38,88
igor-macedo-xavier,84,82,75,43,56,52,36,67
rodrigo-furtado-cunha,61,39,79,64,59,71,84,57
italo-albuquerque-ramalho,64,80,43,66,44,64,84,36
anderson-lacerda-braga,36,83,71,60,43,85,79,37
danilo-medeiros-peixoto,66,76,70,63,41,87,73,87
bruno-valadares-siqueira,35,48,84,82,68,45,43,87
mateus-cunha-siqueira,38,66,72,36,66,81,72,66
thiago-sampaio-bezerra,35,43,39,66,48,35,82,74
wesley-vasconcelos-azevedo,80,77,66,41,40,42,65,63
nathan-xavier-furtado,75,49,89,55,79,50,77,38
renan-braga-rezende,47,83,87,55,37,56,51,36
nathan-xavier-nogueira,68,89,74,57,62,57,71,63
emerson-bezerra-vasconcelos,77,66,50,76,57,70,67,52
thiago-leite-correia,72,89,66,65,37,35,65,58
kleber-lacerda-leite,52,68,36,76,51,48,60,89
henrique-leite-medeiros,57,83,69,72,75,68,85,86
marcelo-duarte-aragao,65,75,56,75,69,43,40,35
bruno-fonseca-marinho,83,37,83,63,87,76,52,60
emerson-cardoso-aragao,69,83,38,83,73,85,46,49
nathan-freitas-lacerda,70,81,73,53,55,35,48,79
eduardo-marinho-duarte,59,42,77,54,68,40,47,36
kleber-azevedo-sampaio,81,41,69,36,85,55,88,61
adriano-tavares-siqueira,37,87,63,42,63,69,39,39
bruno-meireles-xavier,55,49,53,54,59,84,82,55
fabricio-esteves-dantas,46,58,88,68,48,39,53,86
thiago-xavier-macedo,49,83,87,87,52,57,50,55
gustavo-guimaraes-siqueira,89,75,66,39,76,80,69,47
italo-aragao-pontes,40,63,89,79,80,75,65,52
gabriel-braga-lacerda,53,62,76,71,69,71,39,70
bruno-farias-cardoso,68,80,75,40,69,56,60,62
bruno-magalhaes-albuquerque,85,50,53,38,53,58,48,44
henrique-marinho-andrade,61,37,43,67,83,77,82,41
emerson-vasconcelos-ramalho,89,52,71,87,63,35,84,84
adriano-tavares-azevedo,50,77,75,85,82,55,64,37
ricardo-albuquerque-pacheco,77,65,66,44,54,66,74,68
anderson-dantas-duarte,79,43,72,68,67,76,82,65
felipe-rabelo-marinho,39,84,35,79,40,40,71,38
murilo-esteves-meireles,44,61,51,48,57,54,61,78
italo-leite-marinho,86,80,37,72,69,43,75,42
rodrigo-duarte-nogueira,71,80,89,72,43,71,39,81
henrique-dantas-ramalho,88,57,87,89,85,78,73,39
thiago-pacheco-esteves,79,73,85,77,64,84,53,63
rafael-nogueira-meireles,69,70,39,59,46,63,36,53
yuri-correia-valadares,67,42,75,89,59,65,65,85
adriano-moraes-xavier,35,58,49,76,65,73,43,64
mateus-aragao-lacerda,75,42,53,55,56,80,52,45
otavio-queiroz-braga,45,40,61,76,87,41,89,67
wallace-marinho-siqueira,54,81,50,69,42,51,54,73
eduardo-esteves-dantas,55,35,47,75,41,87,70,55
eduardo-macedo-duarte,82,60,39,46,36,67,36,82
fabricio-ramalho-nogueira,89,52,63,63,38,62,88,40
yuri-ramalho-rabelo,70,68,69,62,82,50,53,45
marcelo-correia-fonseca,84,60,57,80,67,64,51,81
vinicius-valadares-duarte,77,57,36,37,65,35,49,75
adriano-pontes-siqueira,57,54,72,72,51,65,57,79
emerson-siqueira-ramalho,40,38,67,64,59,52,87,42
fabricio-tavares-rezende,64,35,73,51,88,69,45,82
leandro-marinho-correia,52,49,60,46,72,77,77,63
adriano-siqueira-cavalcanti,55,49,37,38,44,59,72,84
kleber-moraes-correia,58,48,70,35,44,64,69,54
eduardo-valadares-ramalho,71,63,65,88,36,42,68,89
rodrigo-pacheco-rabelo,84,44,40,71,68,38,53,39
douglas-cunha-leite,40,82,42,81,57,70,65,64
fabricio-medeiros-rezende,72,65,75,45,59,45,62,38
italo-tavares-andrade,58,85,46,45,79,64,75,59
gabriel-queiroz-esteves,47,85,68,79,86,41,62,52
otavio-furtado-medeiros,62,64,73,88,56,74,41,52
gustavo-cavalcanti-braga,59,36,85,56,54,88,53,63
thiago-lacerda-azevedo,66,35,62,50,43,69,83,39
caio-valadares-queiroz,59,81,63,58,54,52,70,89
ricardo-leite-guimaraes,47,68,67,44,45,57,78,81
lucas-guimaraes-medeiros,46,88,87,56,88,84,65,57
anderson-guimaraes-moraes,86,67,78,41,55,50,35,66
alisson-braga-vasconcelos,57,35,38,60,68,84,53,88
rafael-medeiros-queiroz,54,51,88,53,62,86,73,77
yuri-xavier-leite,84,61,55,88,58,40,56,54
ricardo-leite-rezende,37,79,75,66,44,36,43,51
patrick-freitas-aragao,44,43,74,65,38,69,64,68
fabricio-guimaraes-andrade,67,63,77,80,74,41,41,39
kleber-vasconcelos-cardoso,83,63,87,41,79,76,54,43
samuel-ramalho-correia,61,63,68,81,37,62,47,51
patrick-vasconcelos-azevedo,40,85,80,73,47,61,74,83
rafael-fonseca-farias,75,89,81,48,61,86,67,63
eduardo-ramalho-peixoto,48,88,57,42,69,66,65,54
renan-tavares-moraes,78,48,36,70,68,82,50,37
samuel-xavier-cardoso,43,72,47,66,62,54,64,49
patrick-sampaio-meireles,82,44,39,69,77,81,46,51
samuel-freitas-queiroz,85,42,65,47,43,49,58,86
thiago-vasconcelos-braga,86,86,37,39,89,74,55,72
emerson-correia-valadares,36,81,79,59,85,88,74,76
douglas-rabelo-macedo,71,39,69,60,81,83,43,86
wallace-queiroz-marinho,76,78,67,81,84,82,60,85
diego-correia-magalhaes,42,40,53,75,71,74,53,57
lucas-macedo-cunha,35,67,81,73,87,66,65,88
samuel-bezerra-aragao,41,71,44,76,63,82,58,73
ricardo-correia-pacheco,78,89,52,79,79,85,69,68
henrique-andrade-moraes,76,86,86,40,72,52,84,86
vinicius-sampaio-valadares,72,38,37,53,75,55,69,69
otavio-esteves-vasconcelos,76,36,36,85,59,41,37,67
bruno-fonseca-siqueira,79,77,67,54,73,66,68,78
caio-freitas-pacheco,83,40,86,48,71,84,54,86
alisson-pacheco-marinho,43,60,54,36,41,54,81,60
caio-correia-leite,86,54,43,76,44,58,64,67
thiago-vasconcelos-pacheco,84,60,71,52,50,70,77,87
leandro-medeiros-xavier,88,35,83,48,80,82,61,64
bruno-furtado-cavalcanti,71,51,42,59,60,52,50,64
gabriel-siqueira-guimaraes,39,42,36,89,61,69,85,68
alisson-andrade-tavares,76,42,56,88,55,57,81,58
wallace-esteves-fonseca,46,57,77,87,78,39,77,73
fabricio-duarte-correia,71,75,79,58,43,82,48,52
rafael-meireles-bezerra,63,77,61,84,44,64,87,63
anderson-esteves-leite,50,73,84,36,74,40,77,40
mateus-freitas-aragao,68,50,60,50,89,85,48,78
bruno-correia-tavares,49,46,58,43,75,59,85,57
marcelo-cunha-peixoto,65,45,68,53,74,78,67,62
caio-siqueira-moraes,53,44,75,83,60,68,77,70
rodrigo-cavalcanti-bezerra,83,64,43,72,50,61,63,69
murilo-queiroz-cardoso,58,82,82,37,89,78,53,62
renan-aragao-braga,70,63,56,36,89,71,85,53
douglas-cavalcanti-vasconcelos,45,36,79,37,67,66,41,42
vinicius-braga-nogueira,36,40,75,77,86,44,88,67
henrique-duarte-guimaraes,42,55,86,40,65,67,49,68
caio-esteves-peixoto,82,73,64,88,50,43,36,60
murilo-tavares-cardoso,71,57,81,55,62,86,80,43
bruno-furtado-guimaraes,44,81,66,41,78,40,43,59
nathan-macedo-cunha,58,51,75,74,72,72,73,76
nathan-meireles-medeiros,54,67,77,40,67,82,71,40
anderson-vasconcelos-azevedo,38,78,75,65,76,39,49,87
wallace-xavier-magalhaes,59,69,68,89,88,44,84,65
gustavo-rezende-fonseca,45,75,39,46,67,72,89,89
patrick-cavalcanti-braga,61,58,38,79,55,51,89,59
alisson-marinho-aragao,66,58,83,47,66,38,76,54
rodrigo-tavares-albuquerque,87,54,80,78,57,80,43,72
danilo-valadares-aragao,76,77,79,76,70,66,59,46
renan-vasconcelos-cunha,58,47,60,69,43,81,82,84
lucas-rabelo-fonseca,59,42,36,74,51,36,50,64
marcelo-xavier-siqueira,89,78,40,58,42,78,43,55
diego-magalhaes-furtado,65,89,36,67,74,72,55,37
fabricio-rezende-queiroz,53,71,75,58,46,83,57,77
douglas-magalhaes-cardoso,56,49,84,40,86,58,47,47
diego-sampaio-peixoto,36,70,37,54,60,89,60,43
gabriel-rabelo-fonseca,52,59,79,67,54,56,36,50
fabricio-cunha-magalhaes,52,41,52,66,79,61,70,76
yuri-ramalho-cunha,42,88,68,43,85,50,35,57
adriano-pacheco-esteves,81,45,51,59,45,61,83,75
wallace-guimaraes-peixoto,58,55,48,51,39,69,60,82
fabricio-meireles-duarte,74,79,74,42,42,57,54,49
felipe-cunha-rezende,86,69,45,84,71,38,47,43
fabricio-cunha-freitas,76,75,38,65,89,52,88,86
emerson-andrade-nogueira,81,58,52,79,60,85,78,64
caio-guimaraes-duarte,44,69,53,47,71,71,43,38
lucas-fonseca-esteves,79,54,61,37,37,87,73,64
douglas-farias-pacheco,52,72,79,42,57,88,73,75
felipe-dantas-cunha,44,81,67,75,82,39,43,68
kleber-magalhaes-cunha,36,44,47,49,71,61,88,57
igor-tavares-albuquerque,68,60,58,76,84,48,78,36
leandro-rezende-cardoso,58,63,74,86,50,88,87,48
yuri-cavalcanti-medeiros,84,45,38,67,47,73,57,66
rafael-marinho-braga,78,57,66,40,40,85,86,72
kleber-rezende-albuquerque,79,79,42,64,41,82,47,73
danilo-xavier-pacheco,57,35,49,73,66,40,48,35
rodrigo-farias-cavalcanti,86,55,82,63,61,82,57,55
wallace-fonseca-tavares,47,73,56,47,84,47,49,78
otavio-marinho-cavalcanti,65,85,70,38,44,62,67,59
henrique-meireles-farias,47,35,75,62,78,53,89,82
rodrigo-pontes-correia,66,52,40,76,80,37,78,47
mateus-tavares-siqueira,35,69,65,65,66,61,89,49
anderson-albuquerque-marinho,85,71,40,50,48,46,41,51
samuel-medeiros-azevedo,54,43,84,35,87,57,38,60
alisson-magalhaes-queiroz,38,79,88,57,78,37,68,76
wallace-rezende-bezerra,80,50,47,47,77,61,86,80
douglas-pontes-moraes,67,83,79,83,87,49,68,82
marcelo-braga-macedo,76,81,59,86,87,65,65,45
alisson-azevedo-queiroz,40,66,69,74,47,55,82,74
murilo-braga-meireles,43,56,61,78,72,52,46,36
samuel-medeiros-cardoso,46,42,68,86,43,81,49,43
caio-duarte-dantas,67,75,46,69,61,56,86,81
nathan-bezerra-marinho,49,67,46,79,66,81,69,35
douglas-tavares-freitas,47,46,69,42,37,57,53,67
anderson-rezende-nogueira,67,68,81,53,82,35,60,76
adriano-sampaio-nogueira,54,53,79,56,70,52,78,43
renan-cunha-medeiros,82,61,83,73,87,43,61,52
wesley-furtado-moraes,36,56,56,81,44,84,66,49
leandro-azevedo-braga,45,53,70,60,42,46,81,53
felipe-dantas-macedo,83,55,36,48,54,42,43,82
marcelo-leite-tavares,52,78,62,70,88,74,67,89
danilo-albuquerque-peixoto,53,48,85,37,73,40,43,61
samuel-siqueira-bezerra,88,73,55,44,47,77,65,41
felipe-sampaio-rezende,70,35,48,59,72,45,84,70
igor-valadares-magalhaes,70,41,52,52,89,52,54,56
kleber-azevedo-cunha,41,70,41,82,57,40,81,61
leandro-esteves-fonseca,84,36,80,86,88,89,59,54
fabricio-andrade-cavalcanti,70,41,48,67,59,77,47,84
henrique-xavier-cunha,77,51,58,69,83,64,60,88
renan-cavalcanti-freitas,78,58,64,83,78,51,75,68
murilo-albuquerque-freitas,86,51,56,84,39,77,77,43
gabriel-andrade-braga,39,62,63,86,52,50,61,54
fabricio-nogueira-fonseca,40,73,75,45,79,54,71,59
wesley-lacerda-queiroz,52,40,59,48,62,50,40,63
lucas-marinho-magalhaes,65,42,53,89,38,83,81,56
igor-duarte-vasconcelos,38,63,46,40,82,54,57,36
leandro-magalhaes-lacerda,76,47,62,62,35,38,41,61
caio-esteves-azevedo,82,49,72,37,86,44,86,82
danilo-marinho-albuquerque,71,87,83,55,64,68,64,79
bruno-peixoto-rabelo,83,64,65,43,41,72,68,67
otavio-cavalcanti-cunha,65,63,87,44,43,47,61,47
kleber-valadares-leite,54,66,85,48,67,81,69,37
kleber-leite-tavares,41,76,69,88,77,52,55,80
ricardo-macedo-aragao,82,83,59,41,55,86,35,35
igor-tavares-pacheco,51,60,89,49,38,44,88,43
rodrigo-correia-rabelo,36,85,37,73,55,83,63,47
yuri-azevedo-sampaio,79,50,84,69,79,69,41,55
gabriel-esteves-pontes,61,82,66,87,78,49,47,38
nathan-leite-duarte,58,83,56,70,85,42,63,50
ricardo-pontes-andrade,52,58,68,37,45,82,43,48
emerson-queiroz-sampaio,75,43,72,35,39,75,85,88
yuri-valadares-marinho,49,63,35,39,74,56,53,58
rodrigo-freitas-albuquerque,51,53,72,74,81,88,64,62
diego-furtado-farias,81,37,85,67,77,38,73,80
emerson-freitas-rabelo,68,83,88,46,60,47,74,78
wallace-nogueira-rabelo,68,77,67,61,52,43,41,51
kleber-magalhaes-cavalcanti,80,80,89,37,47,48,86,51
eduardo-pacheco-cunha,62,49,75,65,39,60,75,75
patrick-nogueira-fonseca,78,64,67,85,75,38,87,70
ricardo-correia-tavares,75,47,56,49,38,80,52,71
lucas-ramalho-siqueira,83,51,76,61,44,72,76,65
wesley-correia-dantas,81,60,82,75,42,76,61,57
marcelo-dantas-sampaio,82,69,62,81,66,39,39,75
gabriel-ramalho-valadares,40,77,46,36,89,51,39,39
igor-braga-albuquerque,76,71,68,41,51,67,51,89
rafael-peixoto-valadares,83,36,69,40,55,77,72,57
otavio-pontes-rezende,54,62,35,82,47,46,87,46
gabriel-aragao-esteves,52,74,68,49,79,41,45,84
vinicius-leite-bezerra,84,37,46,44,55,75,39,51
murilo-magalhaes-bezerra,82,88,84,74,51,39,65,72
gabriel-xavier-braga,65,37,54,87,69,78,79,59
thiago-magalhaes-correia,83,50,36,50,81,73,87,61
italo-dantas-azevedo,63,58,46,82,60,46,85,86
caio-aragao-farias,75,73,38,66,66,36,39,76
ricardo-vasconcelos-correia,62,45,81,88,73,53,67,66
danilo-freitas-bezerra,62,46,81,75,49,85,86,80
thiago-cardoso-pontes,60,35,73,58,40,48,77,84
wallace-cunha-tavares,79,87,43,81,59,40,44,56
leandro-lacerda-cardoso,65,88,80,89,50,48,54,49
ricardo-moraes-pontes,66,36,46,76,40,74,59,79
kleber-pacheco-azevedo,57,57,73,61,78,61,63,82
samuel-peixoto-azevedo,81,43,76,88,38,54,85,37
otavio-bezerra-pacheco,49,49,45,71,69,51,61,37
nathan-macedo-farias,63,72,38,76,89,86,41,57
mateus-peixoto-pacheco,75,54,69,73,53,46,59,84
rafael-rezende-fonseca,46,61,40,79,51,60,52,43
leandro-lacerda-valadares,68,48,89,49,86,50,63,69
leandro-vasconcelos-bezerra,42,76,74,55,48,53,80,73
rodrigo-bezerra-meireles,81,62,64,41,80,57,45,81
emerson-marinho-leite,55,43,85,47,86,85,67,65
caio-meireles-guimaraes,40,52,43,44,59,70,72,69
henrique-sampaio-correia,42,40,71,88,58,45,57,45
lucas-cardoso-meireles,79,50,77,41,75,38,67,39
rodrigo-leite-furtado,70,46,83,45,64,50,70,35
italo-cunha-azevedo,50,66,79,52,58,88,61,58
rafael-azevedo-duarte,48,53,72,82,49,62,77,50
gabriel-vasconcelos-cunha,36,58,45,56,72,72,53,44
eduardo-queiroz-fonseca,71,54,71,76,61,84,71,89
nathan-siqueira-leite,84,60,64,88,69,54,72,83
leandro-queiroz-aragao,39,87,61,57,48,82,52,77
yuri-nogueira-correia,84,73,63,43,80,46,58,60
vinicius-guimaraes-farias,78,55,36,72,36,89,70,85
ricardo-cunha-albuquerque,79,45,54,84,89,79,50,71
igor-meireles-vasconcelos,39,43,63,79,75,89,67,69
diego-lacerda-sampaio,64,86,80,49,68,56,36,67
ricardo-nogueira-guimaraes,65,74,86,71,60,55,45,84
nathan-freitas-fonseca,55,43,82,78,54,49,69,74
anderson-rabelo-correia,82,51,64,89,42,53,89,39
murilo-freitas-pacheco,88,51,46,76,57,43,55,88
wallace-bezerra-ramalho,88,63,40,83,55,55,53,75
felipe-rabelo-farias,83,36,81,59,45,76,47,86
wesley-cunha-ramalho,87,77,58,63,36,69,77,43
diego-xavier-tavares,41,85,39,52,88,71,47,65
igor-marinho-freitas,77,86,86,59,63,77,68,55
emerson-pontes-braga,87,40,56,66,77,76,84,76
leandro-dantas-meireles,49,40,39,42,83,77,55,40
renan-bezerra-aragao,52,56,45,79,45,39,83,55
rafael-lacerda-cavalcanti,64,38,66,40,47,89,42,86
otavio-vasconcelos-ramalho,87,37,54,86,69,47,86,40
italo-vasconcelos-valadares,87,45,45,71,87,65,41,41
douglas-bezerra-esteves,50,50,37,71,62,70,43,37
wallace-lacerda-aragao,75,44,69,45,57,38,51,44
lucas-furtado-pontes,58,71,49,73,48,53,69,39
felipe-fonseca-leite,74,69,62,57,39,74,81,71
wesley-cunha-rezende,71,74,76,69,65,89,48,60
wesley-meireles-siqueira,71,75,35,57,75,58,74,81
felipe-peixoto-duarte,60,62,44,87,84,49,60,61
murilo-valadares-furtado,38,73,83,65,63,59,79,51
henrique-medeiros-ramalho,74,67,81,68,62,38,72,58
patrick-vasconcelos-pontes,57,47,85,75,43,70,53,61
bruno-rezende-freitas,42,49,74,63,36,68,48,80
leandro-siqueira-xavier,72,58,65,76,44,71,84,77
gabriel-fonseca-ramalho,60,74,62,51,40,88,47,85
samuel-peixoto-rabelo,54,78,72,69,48,84,86,68
yuri-albuquerque-ramalho,62,80,88,66,76,89,61,56
felipe-albuquerque-correia,52,77,89,52,49,85,38,80
rodrigo-magalhaes-moraes,78,59,55,84,89,35,44,50
igor-rezende-freitas,63,56,45,88,86,53,57,75
mateus-braga-nogueira,54,81,36,61,79,44,55,61
lucas-xavier-esteves,67,62,74,81,61,51,80,36
adriano-cardoso-cunha,40,43,46,64,42,60,55,37
caio-cardoso-freitas,67,73,48,85,74,86,43,87
thiago-ramalho-pacheco,66,43,38,36,80,47,53,66
yuri-aragao-moraes,74,84,54,49,74,86,86,43
eduardo-magalhaes-guimaraes,65,68,38,44,54,70,60,58
thiago-rabelo-tavares,64,86,80,44,49,82,41,42
ricardo-farias-marinho,65,73,66,56,36,45,71,82
fabricio-esteves-queiroz,48,82,73,79,54,82,51,38
lucas-medeiros-dantas,47,42,84,51,38,52,89,72
caio-medeiros-lacerda,81,89,39,41,87,35,47,41
leandro-lacerda-dantas,63,65,46,62,83,42,39,37
lucas-valadares-peixoto,66,67,78,42,88,78,78,68
gustavo-marinho-aragao,65,45,44,40,70,84,70,72
anderson-braga-correia,56,57,36,62,54,61,71,86
adriano-cunha-tavares,49,42,72,50,72,76,57,79
wallace-fonseca-meireles,37,78,73,45,40,41,88,86
italo-correia-magalhaes,50,60,54,76,52,51,63,44
fabricio-rabelo-esteves,36,76,88,44,89,61,49,82
samuel-moraes-albuquerque,60,36,52,71,65,64,62,63
anderson-pontes-xavier,76,61,55,74,79,44,67,78
gustavo-braga-rezende,68,87,41,82,81,86,37,87
felipe-magalhaes-pontes,87,71,87,58,59,39,88,37
kleber-tavares-vasconcelos,70,36,82,69,40,41,47,80
anderson-tavares-cunha,79,38,61,83,59,50,72,39
caio-queiroz-pacheco,75,47,49,58,87,59,63,51
diego-vasconcelos-sampaio,43,57,42,83,89,82,86,76
marcelo-cunha-fonseca,72,66,39,81,74,36,52,38
gabriel-magalhaes-cardoso,66,40,51,58,70,54,38,82
henrique-braga-siqueira,50,38,85,37,82,75,49,61
samuel-braga-pacheco,87,63,86,66,62,85,72,55
leandro-azevedo-albuquerque,35,87,88,35,63,61,39,86
patrick-macedo-guimaraes,85,40,42,39,47,56,45,59
igor-andrade-leite,45,64,66,82,81,73,68,43
ricardo-esteves-ramalho,64,40,84,71,40,67,35,38
nathan-azevedo-lacerda,54,70,59,62,48,41,44,89
adriano-marinho-pontes,56,49,74,81,58,85,72,48
nathan-farias-duarte,72,48,47,64,65,53,46,56
yuri-cavalcanti-sampaio,57,57,62,47,75,50,89,70
renan-valadares-ramalho,68,65,89,67,39,67,45,48
wallace-guimaraes-esteves,48,80,83,37,79,42,54,79
henrique-farias-ramalho,54,48,66,77,76,84,44,63
rodrigo-rabelo-valadares,52,73,71,72,50,56,87,38
rafael-andrade-farias,49,75,76,70,78,52,65,54
wesley-freitas-braga,46,50,51,58,56,53,64,87
adriano-freitas-guimaraes,60,55,37,64,59,41,60,71
