jogador_slug,temporada,ritmo,forca,folego,salto,agilidade,passe,drible,cruzamento,frieza,finalizacao,cabeceio,falta,penalti,desarme,marcacao,gol_reflexo,gol_posicionamento,gol_manejo,potencial_base,potencial_variacao,fonte_atributo,coletado_em
nathan-andrade-pontes,2025,86,72,75,65,85,79,81,88,71,55,63,65,59,68,75,31,43,41,84,6,IMPORTADO,2025-01-15T10:00:00Z
nathan-andrade-pontes,2026,88,74,77,67,87,81,83,90,73,57,65,67,61,70,77,33,45,43,84,6,IMPORTADO,2026-01-15T10:00:00Z
patrick-andrade-furtado,2025,85,71,84,74,88,80,85,92,75,65,71,73,68,76,85,52,42,52,88,2,IMPORTADO,2025-01-15T10:00:00Z
patrick-andrade-furtado,2026,87,73,86,76,90,82,87,94,77,67,73,75,70,78,87,54,44,54,88,2,IMPORTADO,2026-01-15T10:00:00Z
thiago-rezende-farias,2025,94,79,81,73,88,77,87,89,72,62,70,84,67,85,75,45,44,40,79,7,IMPORTADO,2025-01-15T10:00:00Z
thiago-rezende-farias,2026,94,79,81,73,88,77,87,89,72,62,70,84,67,85,75,45,44,40,79,7,IMPORTADO,2026-01-15T10:00:00Z
gabriel-meireles-macedo,2025,89,75,85,84,84,86,79,92,78,76,78,75,78,84,87,48,41,43,85,3,IMPORTADO,2025-01-15T10:00:00Z
gabriel-meireles-macedo,2026,89,75,85,84,84,86,79,92,78,76,78,75,78,84,87,48,41,43,85,3,IMPORTADO,2026-01-15T10:00:00Z
nathan-moraes-farias,2025,70,84,85,81,78,91,81,74,74,71,75,74,74,85,94,40,36,38,83,5,IMPORTADO,2025-01-15T10:00:00Z
nathan-moraes-farias,2026,70,84,85,81,78,91,81,74,74,71,75,74,74,85,94,40,36,38,83,5,IMPORTADO,2026-01-15T10:00:00Z
lucas-macedo-guimaraes,2025,69,71,88,75,70,86,79,79,75,62,74,81,66,75,75,33,40,35,73,6,IMPORTADO,2025-01-15T10:00:00Z
lucas-macedo-guimaraes,2026,67,69,86,73,68,84,77,77,73,60,72,79,64,73,73,31,38,33,73,6,IMPORTADO,2026-01-15T10:00:00Z
gustavo-moraes-lacerda,2025,71,85,87,72,86,80,67,67,77,70,76,71,82,92,87,42,51,44,82,8,IMPORTADO,2025-01-15T10:00:00Z
gustavo-moraes-lacerda,2026,71,85,87,72,86,80,67,67,77,70,76,71,82,92,87,42,51,44,82,8,IMPORTADO,2026-01-15T10:00:00Z
caio-furtado-freitas,2025,72,76,81,74,75,87,82,80,89,75,79,79,75,78,77,50,41,44,83,4,IMPORTADO,2025-01-15T10:00:00Z
caio-furtado-freitas,2026,72,76,81,74,75,87,82,80,89,75,79,79,75,78,77,50,41,44,83,4,IMPORTADO,2026-01-15T10:00:00Z
henrique-peixoto-azevedo,2025,66,66,84,78,86,89,77,82,87,77,69,85,76,77,75,37,32,43,76,3,IMPORTADO,2025-01-15T10:00:00Z
henrique-peixoto-azevedo,2026,64,64,82,76,84,87,75,80,85,75,67,83,74,75,73,35,30,41,76,3,IMPORTADO,2026-01-15T10:00:00Z
samuel-braga-azevedo,2025,70,70,72,75,77,86,76,70,79,73,63,81,76,68,59,30,32,35,87,3,IMPORTADO,2025-01-15T10:00:00Z
samuel-braga-azevedo,2026,72,72,74,77,79,88,78,72,81,75,65,83,78,70,61,32,34,37,87,3,IMPORTADO,2026-01-15T10:00:00Z
henrique-azevedo-cavalcanti,2025,79,73,79,77,87,85,85,86,89,78,77,87,75,66,75,50,51,50,81,2,IMPORTADO,2025-01-15T10:00:00Z
henrique-azevedo-cavalcanti,2026,79,73,79,77,87,85,85,86,89,78,77,87,75,66,75,50,51,50,81,2,IMPORTADO,2026-01-15T10:00:00Z
danilo-moraes-siqueira,2025,81,72,80,77,86,81,94,80,78,80,81,73,76,60,61,41,46,40,75,2,IMPORTADO,2025-01-15T10:00:00Z
danilo-moraes-siqueira,2026,79,70,78,75,84,79,92,78,76,78,79,71,74,58,59,39,44,38,75,2,IMPORTADO,2026-01-15T10:00:00Z
vinicius-correia-rabelo,2025,79,64,75,69,79,74,89,77,78,78,68,65,65,63,57,40,32,38,87,3,IMPORTADO,2025-01-15T10:00:00Z
vinicius-correia-rabelo,2026,81,66,77,71,81,76,91,79,80,80,70,67,67,65,59,42,34,40,87,3,IMPORTADO,2026-01-15T10:00:00Z
anderson-siqueira-braga,2025,80,82,73,83,88,81,85,68,81,90,91,79,82,64,58,42,48,42,77,2,IMPORTADO,2025-01-15T10:00:00Z
anderson-siqueira-braga,2026,78,80,71,81,86,79,83,66,79,88,89,77,80,62,56,40,46,40,77,2,IMPORTADO,2026-01-15T10:00:00Z
marcelo-nogueira-medeiros,2025,80,89,77,91,78,72,87,76,78,89,84,82,88,55,70,47,46,50,81,4,IMPORTADO,2025-01-15T10:00:00Z
marcelo-nogueira-medeiros,2026,80,89,77,91,78,72,87,76,78,89,84,82,88,55,70,47,46,50,81,4,IMPORTADO,2026-01-15T10:00:00Z
italo-rabelo-aragao,2025,57,76,59,67,76,61,48,50,67,50,63,62,68,54,59,92,88,93,89,8,IMPORTADO,2025-01-15T10:00:00Z
italo-rabelo-aragao,2026,55,74,57,65,74,59,46,48,65,48,61,60,66,52,57,90,86,91,89,8,IMPORTADO,2026-01-15T10:00:00Z
felipe-rabelo-esteves,2025,68,82,69,77,85,59,55,63,84,58,53,66,73,53,56,84,83,84,88,3,IMPORTADO,2025-01-15T10:00:00Z
felipe-rabelo-esteves,2026,68,82,69,77,85,59,55,63,84,58,53,66,73,53,56,84,83,84,88,3,IMPORTADO,2026-01-15T10:00:00Z
otavio-magalhaes-medeiros,2025,64,71,66,65,77,61,57,55,67,44,57,58,56,53,52,84,89,77,94,8,IMPORTADO,2025-01-15T10:00:00Z
otavio-magalhaes-medeiros,2026,66,73,68,67,79,63,59,57,69,46,59,60,58,55,54,86,91,79,94,8,IMPORTADO,2026-01-15T10:00:00Z
leandro-rabelo-siqueira,2025,76,86,72,86,70,71,61,70,71,56,86,61,70,84,93,35,44,41,72,6,IMPORTADO,2025-01-15T10:00:00Z
leandro-rabelo-siqueira,2026,74,84,70,84,68,69,59,68,69,54,84,59,68,82,91,33,42,39,72,6,IMPORTADO,2026-01-15T10:00:00Z
douglas-pontes-pacheco,2025,71,92,71,90,79,74,58,59,83,58,91,62,65,91,90,48,50,40,73,8,IMPORTADO,2025-01-15T10:00:00Z
douglas-pontes-pacheco,2026,69,90,69,88,77,72,56,57,81,56,89,60,63,89,88,46,48,38,73,8,IMPORTADO,2026-01-15T10:00:00Z
alisson-guimaraes-nogueira,2025,72,84,74,76,77,77,57,64,69,56,94,62,66,84,80,37,43,48,70,8,IMPORTADO,2025-01-15T10:00:00Z
alisson-guimaraes-nogueira,2026,70,82,72,74,75,75,55,62,67,54,92,60,64,82,78,35,41,46,70,8,IMPORTADO,2026-01-15T10:00:00Z
mateus-lacerda-freitas,2025,70,82,81,75,65,70,59,59,71,51,87,75,65,90,89,46,42,48,72,6,IMPORTADO,2025-01-15T10:00:00Z
mateus-lacerda-freitas,2026,70,82,81,75,65,70,59,59,71,51,87,75,65,90,89,46,42,48,72,6,IMPORTADO,2026-01-15T10:00:00Z
eduardo-aragao-moraes,2025,82,77,85,73,74,72,81,87,65,58,70,70,62,79,69,33,41,40,71,6,IMPORTADO,2025-01-15T10:00:00Z
eduardo-aragao-moraes,2026,80,75,83,71,72,70,79,85,63,56,68,68,60,77,67,31,39,38,71,6,IMPORTADO,2026-01-15T10:00:00Z
danilo-rezende-farias,2025,86,68,86,78,79,86,78,79,80,68,72,71,79,78,87,34,42,36,76,2,IMPORTADO,2025-01-15T10:00:00Z
danilo-rezende-farias,2026,84,66,84,76,77,84,76,77,78,66,70,69,77,76,85,32,40,34,76,2,IMPORTADO,2026-01-15T10:00:00Z
alisson-rezende-fonseca,2025,82,73,84,83,77,82,80,81,78,69,64,80,72,83,72,46,37,34,78,8,IMPORTADO,2025-01-15T10:00:00Z
alisson-rezende-fonseca,2026,82,73,84,83,77,82,80,81,78,69,64,80,72,83,72,46,37,34,78,8,IMPORTADO,2026-01-15T10:00:00Z
renan-macedo-pontes,2025,87,78,87,77,80,81,77,84,83,61,78,79,66,87,80,50,49,48,79,4,IMPORTADO,2025-01-15T10:00:00Z
renan-macedo-pontes,2026,87,78,87,77,80,81,77,84,83,61,78,79,66,87,80,50,49,48,79,4,IMPORTADO,2026-01-15T10:00:00Z
italo-cavalcanti-fonseca,2025,68,79,86,74,73,81,72,72,86,69,73,74,81,87,91,42,35,50,86,5,IMPORTADO,2025-01-15T10:00:00Z
italo-cavalcanti-fonseca,2026,70,81,88,76,75,83,74,74,88,71,75,76,83,89,93,44,37,52,86,5,IMPORTADO,2026-01-15T10:00:00Z
henrique-pontes-valadares,2025,73,73,81,74,73,74,68,81,86,61,82,75,65,77,77,49,37,49,77,5,IMPORTADO,2025-01-15T10:00:00Z
henrique-pontes-valadares,2026,73,73,81,74,73,74,68,81,86,61,82,75,65,77,77,49,37,49,77,5,IMPORTADO,2026-01-15T10:00:00Z
kleber-siqueira-cunha,2025,81,86,78,72,78,78,70,78,79,75,79,76,73,82,77,34,40,49,87,5,IMPORTADO,2025-01-15T10:00:00Z
kleber-siqueira-cunha,2026,83,88,80,74,80,80,72,80,81,77,81,78,75,84,79,36,42,51,87,5,IMPORTADO,2026-01-15T10:00:00Z
thiago-azevedo-valadares,2025,70,76,78,75,77,88,80,83,72,63,56,80,67,69,74,43,38,42,86,8,IMPORTADO,2025-01-15T10:00:00Z
thiago-azevedo-valadares,2026,72,78,80,77,79,90,82,85,74,65,58,82,69,71,76,45,40,44,86,8,IMPORTADO,2026-01-15T10:00:00Z
rafael-azevedo-queiroz,2025,69,74,88,77,86,79,84,81,76,69,66,79,79,77,76,43,38,47,87,7,IMPORTADO,2025-01-15T10:00:00Z
rafael-azevedo-queiroz,2026,71,76,90,79,88,81,86,83,78,71,68,81,81,79,78,45,40,49,87,7,IMPORTADO,2026-01-15T10:00:00Z
ricardo-lacerda-rezende,2025,80,67,73,71,87,79,87,88,84,74,65,83,75,57,71,34,41,38,87,5,IMPORTADO,2025-01-15T10:00:00Z
ricardo-lacerda-rezende,2026,82,69,75,73,89,81,89,90,86,76,67,85,77,59,73,36,43,40,87,5,IMPORTADO,2026-01-15T10:00:00Z
wesley-andrade-leite,2025,81,61,70,73,77,74,73,83,81,70,70,70,69,63,52,37,40,44,84,6,IMPORTADO,2025-01-15T10:00:00Z
wesley-andrade-leite,2026,83,63,72,75,79,76,75,85,83,72,72,72,71,65,54,39,42,46,84,6,IMPORTADO,2026-01-15T10:00:00Z
gabriel-rabelo-andrade,2025,84,67,87,81,86,87,86,80,76,71,65,73,83,61,61,48,42,49,79,2,IMPORTADO,2025-01-15T10:00:00Z
gabriel-rabelo-andrade,2026,84,67,87,81,86,87,86,80,76,71,65,73,83,61,61,48,42,49,79,2,IMPORTADO,2026-01-15T10:00:00Z
otavio-vasconcelos-albuquerque,2025,80,72,79,71,88,82,93,78,82,78,78,72,85,67,63,47,35,35,86,4,IMPORTADO,2025-01-15T10:00:00Z
otavio-vasconcelos-albuquerque,2026,82,74,81,73,90,84,94,80,84,80,80,74,87,69,65,49,37,37,86,4,IMPORTADO,2026-01-15T10:00:00Z
marcelo-queiroz-braga,2025,76,76,71,84,74,80,72,71,89,94,78,76,92,67,67,45,49,43,77,4,IMPORTADO,2025-01-15T10:00:00Z
marcelo-queiroz-braga,2026,76,76,71,84,74,80,72,71,89,94,78,76,92,67,67,45,49,43,77,4,IMPORTADO,2026-01-15T10:00:00Z
ricardo-peixoto-leite,2025,75,71,65,79,73,74,83,60,79,90,79,67,80,54,59,45,30,34,70,5,IMPORTADO,2025-01-15T10:00:00Z
ricardo-peixoto-leite,2026,73,69,63,77,71,72,81,58,77,88,77,65,78,52,57,43,28,32,70,5,IMPORTADO,2026-01-15T10:00:00Z
anderson-moraes-dantas,2025,59,80,63,81,82,69,64,52,80,42,57,61,68,52,59,82,94,93,91,5,IMPORTADO,2025-01-15T10:00:00Z
anderson-moraes-dantas,2026,59,80,63,81,82,69,64,52,80,42,57,61,68,52,59,82,94,93,91,5,IMPORTADO,2026-01-15T10:00:00Z
renan-furtado-cardoso,2025,49,75,58,71,82,55,61,45,64,44,53,57,57,45,53,90,82,80,82,3,IMPORTADO,2025-01-15T10:00:00Z
renan-furtado-cardoso,2026,47,73,56,69,80,53,59,43,62,42,51,55,55,43,51,88,80,78,82,3,IMPORTADO,2026-01-15T10:00:00Z
leandro-pacheco-meireles,2025,56,79,69,71,72,59,57,44,72,50,59,57,63,46,56,91,79,83,82,4,IMPORTADO,2025-01-15T10:00:00Z
leandro-pacheco-meireles,2026,54,77,67,69,70,57,55,42,70,48,57,55,61,44,54,89,77,81,82,4,IMPORTADO,2026-01-15T10:00:00Z
diego-nogueira-moraes,2025,71,80,67,75,74,76,62,55,73,64,89,68,75,85,84,38,44,35,71,8,IMPORTADO,2025-01-15T10:00:00Z
diego-nogueira-moraes,2026,69,78,65,73,72,74,60,53,71,62,87,66,73,83,82,36,42,33,71,8,IMPORTADO,2026-01-15T10:00:00Z
rodrigo-peixoto-bezerra,2025,72,84,70,73,60,73,60,62,79,49,77,59,55,88,83,40,33,30,67,2,IMPORTADO,2025-01-15T10:00:00Z
rodrigo-peixoto-bezerra,2026,70,82,68,71,58,71,58,60,77,47,75,57,53,86,81,38,31,28,67,2,IMPORTADO,2026-01-15T10:00:00Z
bruno-azevedo-duarte,2025,68,80,70,85,72,70,51,61,71,53,75,63,59,75,79,29,32,31,66,4,IMPORTADO,2025-01-15T10:00:00Z
bruno-azevedo-duarte,2026,66,78,68,83,70,68,49,59,69,51,73,61,57,73,77,27,30,29,66,4,IMPORTADO,2026-01-15T10:00:00Z
danilo-farias-ramalho,2025,66,84,72,81,73,76,61,56,78,53,88,60,60,84,82,41,45,40,73,3,IMPORTADO,2025-01-15T10:00:00Z
danilo-farias-ramalho,2026,66,84,72,81,73,76,61,56,78,53,88,60,60,84,82,41,45,40,73,3,IMPORTADO,2026-01-15T10:00:00Z
rodrigo-dantas-fonseca,2025,75,69,87,65,82,69,73,75,63,64,58,68,63,71,76,42,35,34,68,7,IMPORTADO,2025-01-15T10:00:00Z
rodrigo-dantas-fonseca,2026,73,67,85,63,80,67,71,73,61,62,56,66,61,69,74,40,33,32,68,7,IMPORTADO,2026-01-15T10:00:00Z
kleber-andrade-azevedo,2025,79,70,81,83,75,78,71,80,74,67,70,74,76,74,80,37,34,46,86,7,IMPORTADO,2025-01-15T10:00:00Z
kleber-andrade-azevedo,2026,81,72,83,85,77,80,73,82,76,69,72,76,78,76,82,39,36,48,86,7,IMPORTADO,2026-01-15T10:00:00Z
ricardo-meireles-queiroz,2025,81,67,79,77,68,72,74,78,62,58,61,62,62,71,70,37,37,39,81,6,IMPORTADO,2025-01-15T10:00:00Z
ricardo-meireles-queiroz,2026,83,69,81,79,70,74,76,80,64,60,63,64,64,73,72,39,39,41,81,6,IMPORTADO,2026-01-15T10:00:00Z
rafael-queiroz-ramalho,2025,74,75,83,68,77,81,79,74,61,65,59,73,67,70,65,40,44,41,69,4,IMPORTADO,2025-01-15T10:00:00Z
rafael-queiroz-ramalho,2026,72,73,81,66,75,79,77,72,59,63,57,71,65,68,63,38,42,39,69,4,IMPORTADO,2026-01-15T10:00:00Z
rafael-medeiros-farias,2025,67,72,80,71,73,82,74,76,77,60,67,82,79,89,85,39,48,48,75,5,IMPORTADO,2025-01-15T10:00:00Z
rafael-medeiros-farias,2026,67,72,80,71,73,82,74,76,77,60,67,82,79,89,85,39,48,48,75,5,IMPORTADO,2026-01-15T10:00:00Z
wallace-pontes-ramalho,2025,70,76,75,75,75,73,67,61,69,64,61,68,73,82,82,32,41,26,85,7,IMPORTADO,2025-01-15T10:00:00Z
wallace-pontes-ramalho,2026,72,78,77,77,77,75,69,63,71,66,63,70,75,84,84,34,43,28,85,7,IMPORTADO,2026-01-15T10:00:00Z
patrick-bezerra-moraes,2025,78,71,89,77,83,86,76,75,76,60,78,74,74,88,87,36,41,47,87,7,IMPORTADO,2025-01-15T10:00:00Z
patrick-bezerra-moraes,2026,80,73,91,79,85,88,78,77,78,62,80,76,76,90,89,38,43,49,87,7,IMPORTADO,2026-01-15T10:00:00Z
gabriel-lacerda-macedo,2025,74,78,73,73,84,80,81,84,80,70,69,84,72,72,75,43,41,36,80,8,IMPORTADO,2025-01-15T10:00:00Z
gabriel-lacerda-macedo,2026,74,78,73,73,84,80,81,84,80,70,69,84,72,72,75,43,41,36,80,8,IMPORTADO,2026-01-15T10:00:00Z
samuel-nogueira-peixoto,2025,66,69,71,57,73,82,67,75,68,63,60,74,79,61,61,31,29,34,81,3,IMPORTADO,2025-01-15T10:00:00Z
samuel-nogueira-peixoto,2026,68,71,73,59,75,84,69,77,70,65,62,76,81,63,63,33,31,36,81,3,IMPORTADO,2026-01-15T10:00:00Z
vinicius-pontes-freitas,2025,66,67,72,58,70,82,78,77,85,68,60,78,67,55,61,32,27,28,83,6,IMPORTADO,2025-01-15T10:00:00Z
vinicius-pontes-freitas,2026,68,69,74,60,72,84,80,79,87,70,62,80,69,57,63,34,29,30,83,6,IMPORTADO,2026-01-15T10:00:00Z
samuel-braga-cardoso,2025,69,63,70,71,89,77,88,79,88,78,61,88,78,65,59,47,42,40,85,8,IMPORTADO,2025-01-15T10:00:00Z
samuel-braga-cardoso,2026,71,65,72,73,91,79,90,81,90,80,63,90,80,67,61,49,44,42,85,8,IMPORTADO,2026-01-15T10:00:00Z
yuri-xavier-pontes,2025,74,64,68,65,79,66,75,72,76,67,55,74,63,55,56,39,32,42,82,2,IMPORTADO,2025-01-15T10:00:00Z
yuri-xavier-pontes,2026,76,66,70,67,81,68,77,74,78,69,57,76,65,57,58,41,34,44,82,2,IMPORTADO,2026-01-15T10:00:00Z
renan-cavalcanti-rezende,2025,72,70,65,65,80,68,72,76,73,77,65,61,68,49,49,27,34,38,79,2,IMPORTADO,2025-01-15T10:00:00Z
renan-cavalcanti-rezende,2026,74,72,67,67,82,70,74,78,75,79,67,63,70,51,51,29,36,40,79,2,IMPORTADO,2026-01-15T10:00:00Z
eduardo-fonseca-nogueira,2025,79,79,76,84,77,73,83,74,82,84,84,71,91,58,53,45,32,40,74,8,IMPORTADO,2025-01-15T10:00:00Z
eduardo-fonseca-nogueira,2026,77,77,74,82,75,71,81,72,80,82,82,69,89,56,51,43,30,38,74,8,IMPORTADO,2026-01-15T10:00:00Z
yuri-lacerda-marinho,2025,83,79,79,74,84,78,74,73,86,87,86,71,87,66,55,35,33,43,87,3,IMPORTADO,2025-01-15T10:00:00Z
yuri-lacerda-marinho,2026,85,81,81,76,86,80,76,75,88,89,88,73,89,68,57,37,35,45,87,3,IMPORTADO,2026-01-15T10:00:00Z
gustavo-macedo-rabelo,2025,60,77,65,72,70,57,54,47,72,38,44,56,63,47,46,81,78,90,81,2,IMPORTADO,2025-01-15T10:00:00Z
gustavo-macedo-rabelo,2026,58,75,63,70,68,55,52,45,70,36,42,54,61,45,44,79,76,88,81,2,IMPORTADO,2026-01-15T10:00:00Z
douglas-peixoto-fonseca,2025,61,81,72,77,70,56,54,46,66,57,53,61,69,60,58,88,83,85,94,2,IMPORTADO,2025-01-15T10:00:00Z
douglas-peixoto-fonseca,2026,63,83,74,79,72,58,56,48,68,59,55,63,71,62,60,90,85,87,94,2,IMPORTADO,2026-01-15T10:00:00Z
nathan-pontes-albuquerque,2025,51,74,75,77,78,69,50,50,78,51,54,54,72,61,59,94,87,79,94,8,IMPORTADO,2025-01-15T10:00:00Z
nathan-pontes-albuquerque,2026,53,76,77,79,80,71,52,52,80,53,56,56,74,63,61,94,89,81,94,8,IMPORTADO,2026-01-15T10:00:00Z
lucas-andrade-cavalcanti,2025,62,78,63,70,61,65,54,51,62,45,70,54,59,84,78,25,33,26,78,7,IMPORTADO,2025-01-15T10:00:00Z
lucas-andrade-cavalcanti,2026,64,80,65,72,63,67,56,53,64,47,72,56,61,86,80,27,35,28,78,7,IMPORTADO,2026-01-15T10:00:00Z
renan-moraes-aragao,2025,66,90,75,88,65,78,68,70,73,63,84,67,72,90,84,42,46,34,76,8,IMPORTADO,2025-01-15T10:00:00Z
renan-moraes-aragao,2026,66,90,75,88,65,78,68,70,73,63,84,67,72,90,84,42,46,34,76,8,IMPORTADO,2026-01-15T10:00:00Z
ricardo-marinho-vasconcelos,2025,73,79,80,85,64,73,63,65,75,50,82,67,69,79,79,35,42,41,72,7,IMPORTADO,2025-01-15T10:00:00Z
ricardo-marinho-vasconcelos,2026,73,79,80,85,64,73,63,65,75,50,82,67,69,79,79,35,42,41,72,7,IMPORTADO,2026-01-15T10:00:00Z
murilo-dantas-queiroz,2025,76,75,79,80,65,80,61,61,81,51,85,65,68,92,88,40,40,35,82,5,IMPORTADO,2025-01-15T10:00:00Z
murilo-dantas-queiroz,2026,78,77,81,82,67,82,63,63,83,53,87,67,70,94,90,42,42,37,82,5,IMPORTADO,2026-01-15T10:00:00Z
lucas-peixoto-nogueira,2025,73,73,73,66,71,68,72,76,71,66,63,72,65,63,62,32,37,29,82,3,IMPORTADO,2025-01-15T10:00:00Z
lucas-peixoto-nogueira,2026,75,75,75,68,73,70,74,78,73,68,65,74,67,65,64,34,39,31,82,3,IMPORTADO,2026-01-15T10:00:00Z
mateus-vasconcelos-andrade,2025,86,76,82,81,83,74,77,75,76,62,76,79,63,82,68,37,32,40,76,3,IMPORTADO,2025-01-15T10:00:00Z
mateus-vasconcelos-andrade,2026,86,76,82,81,83,74,77,75,76,62,76,79,63,82,68,37,32,40,76,3,IMPORTADO,2026-01-15T10:00:00Z
vinicius-duarte-esteves,2025,79,72,74,80,80,78,75,83,67,58,74,78,62,76,82,31,34,33,74,8,IMPORTADO,2025-01-15T10:00:00Z
vinicius-duarte-esteves,2026,79,72,74,80,80,78,75,83,67,58,74,78,62,76,82,31,34,33,74,8,IMPORTADO,2026-01-15T10:00:00Z
fabricio-andrade-pacheco,2025,81,80,84,66,71,68,68,78,75,58,67,73,67,83,80,39,43,45,71,6,IMPORTADO,2025-01-15T10:00:00Z
fabricio-andrade-pacheco,2026,79,78,82,64,69,66,66,76,73,56,65,71,65,81,78,37,41,43,71,6,IMPORTADO,2026-01-15T10:00:00Z
mateus-pontes-valadares,2025,61,69,68,71,66,82,67,73,72,63,71,69,59,78,83,39,31,38,68,2,IMPORTADO,2025-01-15T10:00:00Z
mateus-pontes-valadares,2026,59,67,66,69,64,80,65,71,70,61,69,67,57,76,81,37,29,36,68,2,IMPORTADO,2026-01-15T10:00:00Z
mateus-pacheco-meireles,2025,64,71,78,62,64,79,62,65,67,59,63,62,71,83,76,42,29,33,66,4,IMPORTADO,2025-01-15T10:00:00Z
mateus-pacheco-meireles,2026,62,69,76,60,62,77,60,63,65,57,61,60,69,81,74,40,27,31,66,4,IMPORTADO,2026-01-15T10:00:00Z
gabriel-magalhaes-albuquerque,2025,69,81,74,72,81,74,75,78,69,63,69,66,76,79,82,37,39,44,73,4,IMPORTADO,2025-01-15T10:00:00Z
gabriel-magalhaes-albuquerque,2026,69,81,74,72,81,74,75,78,69,63,69,66,76,79,82,37,39,44,73,4,IMPORTADO,2026-01-15T10:00:00Z
wallace-rabelo-xavier,2025,61,66,81,68,67,72,71,80,73,64,65,79,64,69,70,28,29,41,68,3,IMPORTADO,2025-01-15T10:00:00Z
wallace-rabelo-xavier,2026,59,64,79,66,65,70,69,78,71,62,63,77,62,67,68,26,27,39,68,3,IMPORTADO,2026-01-15T10:00:00Z
gustavo-macedo-aragao,2025,69,68,78,59,73,81,77,73,74,62,66,79,71,66,66,27,43,30,68,4,IMPORTADO,2025-01-15T10:00:00Z
gustavo-macedo-aragao,2026,67,66,76,57,71,79,75,71,72,60,64,77,69,64,64,25,41,28,68,4,IMPORTADO,2026-01-15T10:00:00Z
caio-esteves-freitas,2025,78,62,68,59,73,68,80,77,84,68,61,75,74,52,64,40,31,41,81,6,IMPORTADO,2025-01-15T10:00:00Z
caio-esteves-freitas,2026,80,64,70,61,75,70,82,79,86,70,63,77,76,54,66,42,33,43,81,6,IMPORTADO,2026-01-15T10:00:00Z
emerson-furtado-farias,2025,80,69,74,66,77,83,82,74,88,77,61,84,74,54,63,38,42,41,76,3,IMPORTADO,2025-01-15T10:00:00Z
emerson-furtado-farias,2026,80,69,74,66,77,83,82,74,88,77,61,84,74,54,63,38,42,41,76,3,IMPORTADO,2026-01-15T10:00:00Z
leandro-lacerda-tavares,2025,84,76,75,80,85,70,80,84,71,81,71,82,66,53,56,40,43,34,83,7,IMPORTADO,2025-01-15T10:00:00Z
leandro-lacerda-tavares,2026,86,78,77,82,87,72,82,86,73,83,73,84,68,55,58,42,45,36,83,7,IMPORTADO,2026-01-15T10:00:00Z
rafael-correia-lacerda,2025,78,63,76,68,74,82,80,86,80,81,69,81,78,64,53,38,32,41,79,4,IMPORTADO,2025-01-15T10:00:00Z
rafael-correia-lacerda,2026,78,63,76,68,74,82,80,86,80,81,69,81,78,64,53,38,32,41,79,4,IMPORTADO,2026-01-15T10:00:00Z
ricardo-duarte-albuquerque,2025,79,84,69,78,84,76,74,69,82,82,79,79,80,57,62,33,45,44,76,4,IMPORTADO,2025-01-15T10:00:00Z
