jogador_slug,caracteristica
renan-cavalcanti-rezende,CHUTE_COLOCADO
yuri-lacerda-marinho,DESARME_LIMPO
yuri-lacerda-marinho,ESPECIALISTA_PENALTI
gustavo-macedo-rabelo,DESARME_LIMPO
nathan-pontes-albuquerque,DESARME_LIMPO
nathan-pontes-albuquerque,CABECEIO_AEREO
lucas-andrade-cavalcanti,DRIBLADOR
renan-moraes-aragao,VOLEIO
lucas-peixoto-nogueira,MARCADOR_AGRESSIVO
lucas-peixoto-nogueira,DRIBLADOR
mateus-vasconcelos-andrade,VOLEIO
mateus-vasconcelos-andrade,CHUTE_DE_LONGE
fabricio-andrade-pacheco,BICICLETA
mateus-pontes-valadares,CABECEIO_AEREO
mateus-pacheco-meireles,CHUTE_DE_LONGE
gabriel-magalhaes-albuquerque,CABECEIO_AEREO
wallace-rabelo-xavier,CHUTE_COLOCADO
wallace-rabelo-xavier,DESARME_LIMPO
gustavo-macedo-aragao,CHUTE_COLOCADO
gustavo-macedo-aragao,ARMADOR
caio-esteves-freitas,MARCADOR_AGRESSIVO
caio-esteves-freitas,CHUTE_COLOCADO
leandro-lacerda-tavares,DRIBLADOR
ricardo-duarte-albuquerque,VOLEIO
marcelo-marinho-nogueira,ARMADOR
alisson-vasconcelos-albuquerque,BICICLETA
rodrigo-furtado-cunha,CHUTE_COLOCADO
rodrigo-furtado-cunha,MARCADOR_AGRESSIVO
danilo-medeiros-peixoto,LIDER
bruno-valadares-siqueira,VOLEIO
mateus-cunha-siqueira,PASSE_LONGO
mateus-cunha-siqueira,CABECEIO_AEREO
wesley-vasconcelos-azevedo,CHUTE_DE_LONGE
wesley-vasconcelos-azevedo,ESPECIALISTA_FALTA
nathan-xavier-furtado,CHUTE_DE_LONGE
nathan-xavier-nogueira,CABECEIO_AEREO
nathan-xavier-nogueira,ESPECIALISTA_PENALTI
emerson-bezerra-vasconcelos,LIDER
emerson-bezerra-vasconcelos,VOLEIO
kleber-lacerda-leite,ESPECIALISTA_FALTA
marcelo-duarte-aragao,ARMADOR
bruno-fonseca-marinho,ARMADOR
bruno-fonseca-marinho,CHUTE_COLOCADO
emerson-cardoso-aragao,DESARME_LIMPO
nathan-freitas-lacerda,BICICLETA
nathan-freitas-lacerda,ARMADOR
eduardo-marinho-duarte,PASSE_LONGO
kleber-azevedo-sampaio,DESARME_LIMPO
kleber-azevedo-sampaio,CHUTE_DE_LONGE
fabricio-esteves-dantas,CHUTE_DE_LONGE
fabricio-esteves-dantas,CABECEIO_AEREO
thiago-xavier-macedo,CABECEIO_AEREO
thiago-xavier-macedo,ARMADOR
gustavo-guimaraes-siqueira,LIDER
italo-aragao-pontes,BICICLETA
gabriel-braga-lacerda,VOLEIO
gabriel-braga-lacerda,DESARME_LIMPO
bruno-farias-cardoso,BICICLETA
bruno-farias-cardoso,CHUTE_COLOCADO
henrique-marinho-andrade,LIDER
adriano-tavares-azevedo,ARMADOR
adriano-tavares-azevedo,CHUTE_COLOCADO
ricardo-albuquerque-pacheco,VOLEIO
ricardo-albuquerque-pacheco,DESARME_LIMPO
felipe-rabelo-marinho,MARCADOR_AGRESSIVO
felipe-rabelo-marinho,VOLEIO
murilo-esteves-meireles,ESPECIALISTA_PENALTI
italo-leite-marinho,LIDER
italo-leite-marinho,DESARME_LIMPO
rodrigo-duarte-nogueira,CHUTE_COLOCADO
henrique-dantas-ramalho,DESARME_LIMPO
thiago-pacheco-esteves,ARMADOR
adriano-moraes-xavier,PASSE_LONGO
mateus-aragao-lacerda,LIDER
wallace-marinho-siqueira,ARMADOR
eduardo-esteves-dantas,PASSE_LONGO
eduardo-macedo-duarte,MARCADOR_AGRESSIVO
eduardo-macedo-duarte,BICICLETA
marcelo-correia-fonseca,CHUTE_COLOCADO
vinicius-valadares-duarte,DESARME_LIMPO
emerson-siqueira-ramalho,PASSE_LONGO
fabricio-tavares-rezende,PASSE_LONGO
leandro-marinho-correia,LIDER
adriano-siqueira-cavalcanti,MARCADOR_AGRESSIVO
eduardo-valadares-ramalho,CHUTE_COLOCADO
eduardo-valadares-ramalho,ESPECIALISTA_PENALTI
douglas-cunha-leite,BICICLETA
douglas-cunha-leite,PASSE_LONGO
italo-tavares-andrade,PASSE_LONGO
gabriel-queiroz-esteves,CHUTE_DE_LONGE
thiago-lacerda-azevedo,PASSE_LONGO
thiago-lacerda-azevedo,CHUTE_DE_LONGE
ricardo-leite-guimaraes,ARMADOR
ricardo-leite-guimaraes,ESPECIALISTA_FALTA
lucas-guimaraes-medeiros,CHUTE_DE_LONGE
lucas-guimaraes-medeiros,CABECEIO_AEREO
alisson-braga-vasconcelos,CHUTE_DE_LONGE
yuri-xavier-leite,MARCADOR_AGRESSIVO
ricardo-leite-rezende,DESARME_LIMPO
ricardo-leite-rezende,ARMADOR
patrick-freitas-aragao,VOLEIO
fabricio-guimaraes-andrade,ESPECIALISTA_PENALTI
kleber-vasconcelos-cardoso,CABECEIO_AEREO
samuel-ramalho-correia,CHUTE_COLOCADO
samuel-ramalho-correia,LIDER
patrick-vasconcelos-azevedo,ESPECIALISTA_PENALTI
rafael-fonseca-farias,DESARME_LIMPO
eduardo-ramalho-peixoto,MARCADOR_AGRESSIVO
eduardo-ramalho-peixoto,DRIBLADOR
renan-tavares-moraes,VOLEIO
samuel-xavier-cardoso,DRIBLADOR
patrick-sampaio-meireles,CABECEIO_AEREO
douglas-rabelo-macedo,BICICLETA
douglas-rabelo-macedo,CABECEIO_AEREO
diego-correia-magalhaes,BICICLETA
diego-correia-magalhaes,VOLEIO
lucas-macedo-cunha,CABECEIO_AEREO
ricardo-correia-pacheco,ESPECIALISTA_PENALTI
vinicius-sampaio-valadares,DRIBLADOR
vinicius-sampaio-valadares,DESARME_LIMPO
otavio-esteves-vasconcelos,ARMADOR
otavio-esteves-vasconcelos,ESPECIALISTA_FALTA
bruno-fonseca-siqueira,CABECEIO_AEREO
caio-freitas-pacheco,LIDER
caio-freitas-pacheco,CHUTE_DE_LONGE
alisson-pacheco-marinho,VOLEIO
alisson-pacheco-marinho,ARMADOR
caio-correia-leite,ESPECIALISTA_PENALTI
leandro-medeiros-xavier,DRIBLADOR
leandro-medeiros-xavier,CABECEIO_AEREO
alisson-andrade-tavares,CHUTE_COLOCADO
fabricio-duarte-correia,CABECEIO_AEREO
fabricio-duarte-correia,DESARME_LIMPO
rafael-meireles-bezerra,BICICLETA
bruno-correia-tavares,PASSE_LONGO
bruno-correia-tavares,LIDER
caio-siqueira-moraes,PASSE_LONGO
rodrigo-cavalcanti-bezerra,MARCADOR_AGRESSIVO
murilo-queiroz-cardoso,ARMADOR
renan-aragao-braga,PASSE_LONGO
renan-aragao-braga,CHUTE_COLOCADO
douglas-cavalcanti-vasconcelos,CABECEIO_AEREO
douglas-cavalcanti-vasconcelos,DESARME_LIMPO
caio-esteves-peixoto,CHUTE_DE_LONGE
caio-esteves-peixoto,ARMADOR
bruno-furtado-guimaraes,ARMADOR
bruno-furtado-guimaraes,CABECEIO_AEREO
nathan-meireles-medeiros,ARMADOR
anderson-vasconcelos-azevedo,VOLEIO
anderson-vasconcelos-azevedo,MARCADOR_AGRESSIVO
wallace-xavier-magalhaes,LIDER
alisson-marinho-aragao,MARCADOR_AGRESSIVO
alisson-marinho-aragao,PASSE_LONGO
rodrigo-tavares-albuquerque,CHUTE_DE_LONGE
danilo-valadares-aragao,ESPECIALISTA_FALTA
renan-vasconcelos-cunha,DESARME_LIMPO
renan-vasconcelos-cunha,ESPECIALISTA_PENALTI
marcelo-xavier-siqueira,ESPECIALISTA_FALTA
fabricio-rezende-queiroz,PASSE_LONGO
douglas-magalhaes-cardoso,CHUTE_DE_LONGE
douglas-magalhaes-cardoso,MARCADOR_AGRESSIVO
diego-sampaio-peixoto,ESPECIALISTA_PENALTI
diego-sampaio-peixoto,LIDER
gabriel-rabelo-fonseca,ESPECIALISTA_PENALTI
yuri-ramalho-cunha,CHUTE_COLOCADO
yuri-ramalho-cunha,MARCADOR_AGRESSIVO
wallace-guimaraes-peixoto,VOLEIO
fabricio-meireles-duarte,VOLEIO
felipe-cunha-rezende,PASSE_LONGO
fabricio-cunha-freitas,CABECEIO_AEREO
emerson-andrade-nogueira,PASSE_LONGO
emerson-andrade-nogueira,BICICLETA
caio-guimaraes-duarte,ESPECIALISTA_PENALTI
igor-tavares-albuquerque,DRIBLADOR
leandro-rezende-cardoso,VOLEIO
yuri-cavalcanti-medeiros,CABECEIO_AEREO
rafael-marinho-braga,VOLEIO
kleber-rezende-albuquerque,DRIBLADOR
kleber-rezende-albuquerque,ESPECIALISTA_FALTA
rodrigo-farias-cavalcanti,CHUTE_COLOCADO
wallace-fonseca-tavares,MARCADOR_AGRESSIVO
wallace-fonseca-tavares,ARMADOR
henrique-meireles-farias,ESPECIALISTA_FALTA
samuel-medeiros-azevedo,CHUTE_COLOCADO
alisson-magalhaes-queiroz,CHUTE_COLOCADO
alisson-magalhaes-queiroz,ESPECIALISTA_FALTA
wallace-rezende-bezerra,CHUTE_COLOCADO
wallace-rezende-bezerra,ESPECIALISTA_FALTA
douglas-pontes-moraes,CHUTE_DE_LONGE
douglas-pontes-moraes,CHUTE_COLOCADO
samuel-medeiros-cardoso,BICICLETA
nathan-bezerra-marinho,DRIBLADOR
nathan-bezerra-marinho,VOLEIO
renan-cunha-medeiros,VOLEIO
leandro-azevedo-braga,MARCADOR_AGRESSIVO
marcelo-leite-tavares,BICICLETA
danilo-albuquerque-peixoto,DRIBLADOR
felipe-sampaio-rezende,LIDER
igor-valadares-magalhaes,MARCADOR_AGRESSIVO
fabricio-andrade-cavalcanti,CHUTE_COLOCADO
fabricio-andrade-cavalcanti,VOLEIO
fabricio-nogueira-fonseca,MARCADOR_AGRESSIVO
fabricio-nogueira-fonseca,PASSE_LONGO
wesley-lacerda-queiroz,ARMADOR
wesley-lacerda-queiroz,PASSE_LONGO
lucas-marinho-magalhaes,CHUTE_COLOCADO
leandro-magalhaes-lacerda,CABECEIO_AEREO
caio-esteves-azevedo,CABECEIO_AEREO
danilo-marinho-albuquerque,LIDER
bruno-peixoto-rabelo,LIDER
otavio-cavalcanti-cunha,LIDER
otavio-cavalcanti-cunha,PASSE_LONGO
kleber-leite-tavares,ARMADOR
ricardo-macedo-aragao,ARMADOR
igor-tavares-pacheco,CHUTE_COLOCADO
igor-tavares-pacheco,VOLEIO
rodrigo-correia-rabelo,BICICLETA
yuri-azevedo-sampaio,MARCADOR_AGRESSIVO
yuri-azevedo-sampaio,VOLEIO
gabriel-esteves-pontes,ESPECIALISTA_PENALTI
ricardo-pontes-andrade,ARMADOR
ricardo-pontes-andrade,BICICLETA
rodrigo-freitas-albuquerque,PASSE_LONGO
rodrigo-freitas-albuquerque,LIDER
emerson-freitas-rabelo,ARMADOR
wallace-nogueira-rabelo,ARMADOR
wallace-nogueira-rabelo,VOLEIO
patrick-nogueira-fonseca,CHUTE_COLOCADO
patrick-nogueira-fonseca,ESPECIALISTA_PENALTI
lucas-ramalho-siqueira,ARMADOR
lucas-ramalho-siqueira,ESPECIALISTA_PENALTI
wesley-correia-dantas,VOLEIO
gabriel-ramalho-valadares,ARMADOR
gabriel-ramalho-valadares,BICICLETA
igor-braga-albuquerque,BICICLETA
gabriel-aragao-esteves,CABECEIO_AEREO
gabriel-aragao-esteves,VOLEIO
vinicius-leite-bezerra,ESPECIALISTA_PENALTI
vinicius-leite-bezerra,ESPECIALISTA_FALTA
gabriel-xavier-braga,LIDER
gabriel-xavier-braga,CHUTE_DE_LONGE
thiago-magalhaes-correia,CABECEIO_AEREO
thiago-magalhaes-correia,CHUTE_DE_LONGE
italo-dantas-azevedo,CHUTE_COLOCADO
italo-dantas-azevedo,MARCADOR_AGRESSIVO
caio-aragao-farias,BICICLETA
caio-aragao-farias,ESPECIALISTA_PENALTI
ricardo-vasconcelos-correia,ESPECIALISTA_FALTA
ricardo-vasconcelos-correia,DESARME_LIMPO
thiago-cardoso-pontes,LIDER
wallace-cunha-tavares,CABECEIO_AEREO
wallace-cunha-tavares,DESARME_LIMPO
leandro-lacerda-cardoso,ESPECIALISTA_PENALTI
ricardo-moraes-pontes,DRIBLADOR
samuel-peixoto-azevedo,VOLEIO
samuel-peixoto-azevedo,PASSE_LONGO
otavio-bezerra-pacheco,LIDER
nathan-macedo-farias,CABECEIO_AEREO
leandro-vasconcelos-bezerra,CHUTE_DE_LONGE
leandro-vasconcelos-bezerra,LIDER
rodrigo-bezerra-meireles,DRIBLADOR
emerson-marinho-leite,CABECEIO_AEREO
caio-meireles-guimaraes,ESPECIALISTA_PENALTI
caio-meireles-guimaraes,CABECEIO_AEREO
henrique-sampaio-correia,LIDER
henrique-sampaio-correia,MARCADOR_AGRESSIVO
lucas-cardoso-meireles,CHUTE_COLOCADO
rodrigo-leite-furtado,ESPECIALISTA_PENALTI
rodrigo-leite-furtado,DRIBLADOR
rafael-azevedo-duarte,DRIBLADOR
eduardo-queiroz-fonseca,ARMADOR
nathan-siqueira-leite,CABECEIO_AEREO
nathan-siqueira-leite,CHUTE_DE_LONGE
vinicius-guimaraes-farias,VOLEIO
ricardo-cunha-albuquerque,DESARME_LIMPO
igor-meireles-vasconcelos,ARMADOR
igor-meireles-vasconcelos,CABECEIO_AEREO
ricardo-nogueira-guimaraes,CHUTE_DE_LONGE
ricardo-nogueira-guimaraes,CABECEIO_AEREO
anderson-rabelo-correia,ESPECIALISTA_PENALTI
anderson-rabelo-correia,CHUTE_COLOCADO
wallace-bezerra-ramalho,MARCADOR_AGRESSIVO
wallace-bezerra-ramalho,ESPECIALISTA_FALTA
felipe-rabelo-farias,CHUTE_DE_LONGE
felipe-rabelo-farias,ARMADOR
diego-xavier-tavares,BICICLETA
emerson-pontes-braga,ESPECIALISTA_FALTA
emerson-pontes-braga,PASSE_LONGO
renan-bezerra-aragao,VOLEIO
renan-bezerra-aragao,ESPECIALISTA_FALTA
otavio-vasconcelos-ramalho,ESPECIALISTA_FALTA
italo-vasconcelos-valadares,DESARME_LIMPO
wallace-lacerda-aragao,CABECEIO_AEREO
wallace-lacerda-aragao,DESARME_LIMPO
lucas-furtado-pontes,CHUTE_COLOCADO
felipe-fonseca-leite,CHUTE_COLOCADO
felipe-fonseca-leite,CHUTE_DE_LONGE
wesley-cunha-rezende,ESPECIALISTA_FALTA
wesley-cunha-rezende,CHUTE_COLOCADO
wesley-meireles-siqueira,DRIBLADOR
wesley-meireles-siqueira,CHUTE_DE_LONGE
felipe-peixoto-duarte,CHUTE_COLOCADO
henrique-medeiros-ramalho,MARCADOR_AGRESSIVO
henrique-medeiros-ramalho,LIDER
patrick-vasconcelos-pontes,CABECEIO_AEREO
patrick-vasconcelos-pontes,PASSE_LONGO
bruno-rezende-freitas,ARMADOR
samuel-peixoto-rabelo,DRIBLADOR
yuri-albuquerque-ramalho,ESPECIALISTA_FALTA
felipe-albuquerque-correia,PASSE_LONGO
rodrigo-magalhaes-moraes,LIDER
rodrigo-magalhaes-moraes,BICICLETA
igor-rezende-freitas,CABECEIO_AEREO
mateus-braga-nogueira,BICICLETA
lucas-xavier-esteves,DRIBLADOR
adriano-cardoso-cunha,ARMADOR
caio-cardoso-freitas,DESARME_LIMPO
eduardo-magalhaes-guimaraes,PASSE_LONGO
eduardo-magalhaes-guimaraes,BICICLETA
thiago-rabelo-tavares,CHUTE_DE_LONGE
thiago-rabelo-tavares,CABECEIO_AEREO
ricardo-farias-marinho,MARCADOR_AGRESSIVO
ricardo-farias-marinho,VOLEIO
caio-medeiros-lacerda,DESARME_LIMPO
gustavo-marinho-aragao,CHUTE_COLOCADO
wallace-fonseca-meireles,MARCADOR_AGRESSIVO
wallace-fonseca-meireles,LIDER
italo-correia-magalhaes,DESARME_LIMPO
samuel-moraes-albuquerque,CHUTE_COLOCADO
samuel-moraes-albuquerque,LIDER
anderson-pontes-xavier,DESARME_LIMPO
anderson-pontes-xavier,ESPECIALISTA_PENALTI
gustavo-braga-rezende,CABECEIO_AEREO
gustavo-braga-rezende,ESPECIALISTA_PENALTI
felipe-magalhaes-pontes,CABECEIO_AEREO
anderson-tavares-cunha,CHUTE_DE_LONGE
marcelo-cunha-fonseca,PASSE_LONGO
gabriel-magalhaes-cardoso,PASSE_LONGO
gabriel-magalhaes-cardoso,CHUTE_COLOCADO
henrique-braga-siqueira,BICICLETA
samuel-braga-pacheco,MARCADOR_AGRESSIVO
patrick-macedo-guimaraes,CABECEIO_AEREO
ricardo-esteves-ramalho,PASSE_LONGO
yuri-cavalcanti-sampaio,CABECEIO_AEREO
yuri-cavalcanti-sampaio,CHUTE_COLOCADO
wallace-guimaraes-esteves,DESARME_LIMPO
wallace-guimaraes-esteves,CHUTE_COLOCADO
henrique-farias-ramalho,ESPECIALISTA_PENALTI
henrique-farias-ramalho,ESPECIALISTA_FALTA
rafael-andrade-farias,BICICLETA
wesley-freitas-braga,CABECEIO_AEREO
adriano-freitas-guimaraes,CABECEIO_AEREO
adriano-freitas-guimaraes,BICICLETA
